row_id,positive,sample_n
1992,120,122
1993,124,126
1994,113,116
1995,113,114
1996,111,112
1997,127,128
1998,101,103
1999,78,81
2000,65,90
2001,78,81
2002,79,81
2003,97,99
2004,76,78
2005,91,93
2006,73,86
2007,93,98
2008,88,96
2009,36,37
2010,46,46
2011,39,41
2012,35,37
2013,59,60
2014,63,64
2015,47,49
2016,42,44
2017,62,64
2018,42,44
2019,24,28
2020,27,30
2021,35,35
2022,32,34
2023,36,38
2024,30,32
2025,39,41
2026,36,38
2027,33,35
2028,31,33
2029,51,56
2030,50,52
2031,49,50
2032,61,62
2033,69,70
2034,58,65
2035,47,49
2036,61,62
2037,58,59
2038,63,71
2039,48,53
2040,39,44
2041,61,61
2042,39,41
2043,45,47
2044,44,46
2045,53,54
2046,42,50
2047,58,59
2048,12,17
2049,9,15
2050,18,18
2051,94,96
2052,77,83
2053,75,77
2054,99,101
2055,100,101
2056,110,111
2057,122,123
2058,79,81
2059,96,98
2060,92,95
2061,93,103
2062,59,63
2063,90,95
2064,70,71
2065,66,67
2066,68,69
2067,68,69
2068,72,73
2069,67,68
2070,65,66
2071,41,45
2072,45,47
2073,46,49
2074,51,52
2075,29,31
2076,79,90
2077,91,91
2078,82,83
2079,91,93
2080,97,100
2081,92,94
2082,80,82
2083,89,91
2084,90,92
2085,90,92
2086,74,75
2087,80,82
2088,68,69
2089,109,111
2090,97,97
2091,72,73
2092,77,79
2093,77,79
2094,74,75
2095,47,49
2096,54,55
2097,75,77
2098,24,26
2099,28,28
2100,26,26
2101,25,26
2102,25,26
2103,28,30
2104,22,23
2105,20,21
2106,19,20
2107,12,12
2108,12,12
2109,53,66
2110,42,57
2111,55,57
2112,52,53
2113,43,48
2114,43,45
2115,10,31
2116,29,41
2117,59,77
2118,118,119
2119,133,136
2120,121,123
2121,108,109
2122,109,110
2123,128,129
2124,122,124
2125,105,106
2126,105,106
2127,114,115
2128,10,10
