row_id,positive,sample_n
921,89,91
922,88,96
923,91,101
924,68,101
925,96,98
926,25,105
927,95,107
928,102,105
929,94,95
930,98,98
931,94,94
932,91,93
933,97,99
934,84,87
935,102,103
936,82,84
937,86,88
938,90,94
939,10,11
940,9,11
941,84,87
942,87,89
943,59,60
944,78,80
945,78,80
946,79,81
947,81,83
948,57,58
949,49,50
950,58,59
951,34,41
952,42,63
953,64,65
954,41,43
955,46,49
956,45,52
957,38,42
958,14,40
959,36,89
960,23,94
961,94,94
962,87,89
963,89,92
964,89,91
965,88,90
966,29,94
967,85,91
968,97,99
969,22,22
970,22,23
971,19,20
972,21,22
973,21,22
974,21,22
975,23,24
976,21,22
977,102,102
978,111,114
979,107,108
980,144,145
981,115,119
982,93,95
983,99,100
984,90,92
985,170,172
986,49,53
987,42,46
988,51,52
989,45,47
990,44,46
991,38,40
992,39,41
993,27,28
994,142,143
995,95,98
996,82,82
997,96,99
998,82,84
999,76,78
1000,71,72
1001,45,47
1002,41,43
1003,73,74
1004,102,103
1005,172,175
1006,188,195
1007,150,151
1008,163,165
1009,153,155
1010,124,128
1011,152,154
1012,165,167
1013,160,162
1014,147,148
1015,54,56
1016,80,81
1017,71,72
1018,70,72
1019,94,96
1020,92,94
1021,91,93
1022,72,73
1023,70,71
1024,90,92
1025,70,79
1026,62,63
1027,57,60
1028,93,95
1029,96,98
1030,83,85
1031,84,86
1032,79,81
1033,86,88
1034,97,99
1035,55,59
1036,29,32
1037,29,31
1038,23,24
1039,38,40
1040,37,38
1041,35,35
1042,37,39
1043,38,40
1044,41,43
1045,39,41
1046,42,44
1047,36,38
1048,34,36
1049,113,114
1050,99,100
1051,96,97
1052,116,117
1053,114,115
1054,125,128
1055,118,119
1056,114,115
1057,79,81
1058,87,89
1059,124,131
1060,134,138
1061,109,109
1062,102,103
1063,97,99
1064,93,95
1065,100,101
1066,97,99
1067,80,82
1068,86,88
1069,42,43
1070,44,44
1071,50,51
1072,41,43
1073,49,50
1074,42,44
1075,61,65
1076,26,44
1077,44,46
1078,45,47
1079,117,125
1080,105,107
1081,85,86
1082,89,91
1083,78,80
1084,94,96
1085,80,82
1086,67,68
1087,63,64
1088,69,70
1089,102,102
1090,113,118
1091,120,120
1092,127,128
1093,116,118
1094,94,96
1095,95,97
1096,82,84
1097,82,84
1098,75,77
1099,33,33
1100,36,36
1101,29,29
1102,24,25
1103,33,35
1104,30,32
1105,27,28
1106,25,26
1107,25,26
1108,28,30
1109,47,55
1110,35,72
1111,51,53
1112,61,64
1113,46,48
1114,47,49
1115,40,42
1116,26,34
1117,41,46
1118,38,41
1119,66,67
1120,79,92
1121,88,90
1122,69,71
1123,57,66
1124,49,51
1125,45,47
1126,30,34
1127,42,44
1128,12,23
1129,28,32
1130,34,45
1131,41,43
1132,45,47
1133,34,37
1134,37,39
1135,28,30
1136,21,22
1137,10,11
1138,14,14
1139,19,19
1140,24,28
1141,23,24
1142,24,26
1143,28,29
1144,30,32
1145,22,23
1146,107,115
1147,114,115
1148,114,120
1149,74,75
1150,146,147
1151,99,100
1152,121,122
1153,85,87
1154,127,128
1155,140,141
1156,3,25
1157,54,54
1158,40,50
1159,47,48
1160,43,45
1161,49,52
1162,44,46
1163,53,54
1164,46,48
1165,42,47
1166,45,48
1167,96,98
1168,140,140
1169,165,168
1170,141,142
1171,142,143
1172,153,155
1173,163,165
1174,163,169
1175,137,138
1176,141,142
1177,177,179
1178,162,164
1179,154,156
1180,140,144
1181,180,182
1182,125,126
1183,146,147
1184,148,149
1185,118,121
1186,86,88
1187,114,115
1188,119,122
1189,112,113
1190,115,121
1191,88,90
1192,89,91
1193,96,98
1194,41,49
1195,41,50
1196,57,58
1197,46,48
1198,51,52
1199,52,54
1200,50,51
1201,41,48
1202,119,121
1203,177,188
1204,169,173
1205,172,174
